contigName	contigLen	totalAvgDepth	MA_sorted.bam	MA_sorted.bam-var	MB_sorted.bam	MB_sorted.bam-var	MC_sorted.bam	MC_sorted.bam-var	MD_sorted.bam	MD_sorted.bam-var
bin00.contig0207	476	649.337	118.752	141.153	269.942	532.024	74.3804	83.5164	186.264	234.466
bin00.contig0208	476	5167.26	1256.54	11650.7	1564.62	11326.4	713.779	2968.03	1632.32	18413.1
bin00.contig0209	470	11492.3	2819.21	255312	3358.98	596892	2086.45	91281.9	3227.67	469918
bin00.contig0210	469	49.9467	0.460815	0.249246	44.8182	708.722	0	0	4.67085	15.5611
bin00.contig0211	468	1708.23	427.538	8964.92	562.022	20591.6	245.33	1312.51	473.343	14301.3
bin00.contig0212	465	3278.65	731.59	262735	1076.03	542804	461.521	113284	1009.51	504002
bin00.contig0213	461	5278.27	1266.64	8257.26	1716.05	20487.1	748.44	2766.58	1547.14	11922.9
bin00.contig0214	452	465.166	87.2384	831.358	198.149	4046.88	27.8907	123.147	151.887	1761.44
bin00.contig0215	450	8641.73	2067.64	219466	2665.85	338133	1418.43	146070	2489.8	367022
bin00.contig0216	450	10105.1	2393.99	466226	3186.23	754697	1564.82	302531	2960.03	744022
bin00.contig0217	446	7202.8	1657.5	34018.4	2104.9	26308.7	1424.24	155554	2016.17	21274
bin00.contig0218	424	6083.59	1434.74	37971.7	1955.27	44796.9	855.562	13288.3	1838.02	43239.7
bin00.contig0219	418	5165.35	1238.2	12848.5	1665	21367.2	713.817	5575.84	1548.34	14244.2
bin00.contig0220	413	12019.4	2841.49	72057.3	3936.29	129272	1619.03	24105.3	3622.62	101766
bin00.contig0221	412	1952.13	392.798	2577.53	706.828	6899.69	242.496	1178.82	610.011	5829.68
bin00.contig0222	412	2029.89	525.195	8028.82	486.011	3821.8	412.756	17751.5	605.931	4642.56
bin00.contig0223	411	5618.71	1295.03	2954.32	1761.15	7159.62	860.835	4022.72	1701.7	14206.4
bin00.contig0224	398	4588.24	1089.19	34928.6	1436.31	64868.7	641.835	10190.8	1420.91	50792.8
bin00.contig0225	393	130.391	27.5967	18.7458	49.1852	76.5978	8.55144	2.71945	45.0576	41.443
bin00.contig0226	392	2535.51	643.975	912.829	261.603	168.307	1207.54	3148.22	422.393	428.821
bin00.contig0227	391	3019.32	566.606	4971.38	1293.16	14821.8	190.573	540.129	968.988	8605.79
bin00.contig0228	388	4872.53	1132.16	33318.9	1552.35	58954.6	698.269	14407.1	1489.74	45342.4
bin00.contig0229	388	3205.41	730.634	6361.49	1062.57	15412.2	423.059	2951.9	989.143	11732.5
bin00.contig0230	383	5520.25	1305.77	4611.65	1733	11840	796.013	1200.54	1685.46	7419.15
bin00.contig0231	381	6264.11	1496.73	6971.86	1980.13	9508.92	833.251	2217.58	1954.01	8249.98
bin00.contig0232	373	19948.5	5026.22	718456	4630.35	287078	5342.23	1.55793e+06	4949.74	459674
bin00.contig0233	371	2217.49	570.176	5376.53	226.534	1051.99	1048.94	15447	371.846	2960.29
bin00.contig0234	368	6680.58	1576	3196.07	2087.95	58995.5	987.124	38475.5	2029.5	21604.9
bin00.contig0235	365	2938.45	624.963	8155.98	1025.08	20999.2	370.186	1757.17	918.214	16143.3
bin00.contig0236	361	1803.1	448.953	10582	506.886	7553.63	352.374	14174.7	494.886	9628.96
bin00.contig0237	360	2701.45	706.457	11443.9	605.633	5746.05	680.2	39251	709.162	5812.71
