#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae	1	0.38	4.99	0.01	0.00	0.00	0.00	0.00	4.99	0.02	0.00	0.00
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Coraliomargarita	1	0.38	9.32	0.02	0.16	0.00	0.03	0.00	8.84	0.03	0.30	0.00
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	3	1.15	310.48	0.70	38.53	0.64	8.16	0.18	250.34	0.90	13.45	0.22
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae	1	0.38	15.16	0.03	0.00	0.00	0.00	0.00	15.11	0.05	0.05	0.00
Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya	1	0.38	10.96	0.02	0.00	0.00	0.00	0.00	10.96	0.04	0.00	0.00
Bacteria;Firmicutes;Clostridia	1	0.38	13.85	0.03	2.98	0.05	1.34	0.03	5.82	0.02	3.71	0.06
Bacteria;Patescibacteria;Parcubacteria;OLB19	2	0.77	75.08	0.17	22.51	0.37	4.32	0.10	44.76	0.16	3.49	0.06
Bacteria;Verrucomicrobia;Verrucomicrobiae	3	1.15	38.08	0.09	5.10	0.08	6.18	0.14	19.51	0.07	7.28	0.12
Bacteria;Proteobacteria;Alphaproteobacteria;uncultured	1	0.38	22.65	0.05	2.11	0.03	0.00	0.00	10.53	0.04	10.00	0.16
Bacteria;Proteobacteria;Gammaproteobacteria	2	0.77	227.86	0.51	0.75	0.01	110.66	2.48	29.22	0.11	87.25	1.40
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella	2	0.77	1801.09	4.05	191.00	3.16	100.63	2.26	1358.22	4.90	151.23	2.43
Eukaryota;Archaeplastida	4	1.54	5030.37	11.32	78.47	1.30	11.93	0.27	4927.75	17.77	12.23	0.20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	9	3.46	2947.02	6.63	462.53	7.66	284.54	6.38	1790.94	6.46	409.02	6.58
Bacteria;Patescibacteria;Parcubacteria	1	0.38	46.52	0.10	13.76	0.23	2.56	0.06	29.00	0.10	1.19	0.02
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	1	0.38	19.80	0.04	7.69	0.13	0.00	0.00	11.75	0.04	0.35	0.01
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales	2	0.77	255.20	0.57	25.15	0.42	52.24	1.17	118.71	0.43	59.10	0.95
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	1	0.38	419.72	0.94	55.33	0.92	101.79	2.28	102.44	0.37	160.16	2.58
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola	1	0.38	65.41	0.15	33.92	0.56	3.63	0.08	17.51	0.06	10.35	0.17
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium	3	1.15	149.96	0.34	10.10	0.17	2.63	0.06	133.78	0.48	3.46	0.06
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales	1	0.38	34.81	0.08	3.56	0.06	3.30	0.07	22.95	0.08	5.01	0.08
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	1	0.38	279.33	0.63	242.23	4.01	5.09	0.11	21.69	0.08	10.33	0.17
Bacteria;Planctomycetes;Planctomycetacia	3	1.15	41.46	0.09	16.40	0.27	0.00	0.00	18.55	0.07	6.51	0.10
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio	1	0.38	20.64	0.05	1.51	0.03	1.58	0.04	15.53	0.06	2.02	0.03
Bacteria;Actinobacteria;Nitriliruptoria	8	3.08	874.76	1.97	37.28	0.62	46.77	1.05	745.73	2.69	44.98	0.72
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Natronohydrobacter	1	0.38	593.11	1.33	60.13	1.00	52.98	1.19	390.27	1.41	89.73	1.44
Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria	1	0.38	4.30	0.01	0.00	0.00	0.00	0.00	4.31	0.02	0.00	0.00
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;Halalkalicoccus	3	1.15	28.25	0.06	0.00	0.00	0.00	0.00	28.14	0.10	0.11	0.00
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter	2	0.77	94.20	0.21	12.48	0.21	4.98	0.11	67.55	0.24	9.20	0.15
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	1	0.38	37.04	0.08	8.35	0.14	2.36	0.05	20.87	0.08	5.45	0.09
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio	2	0.77	523.52	1.18	69.16	1.15	111.68	2.50	127.90	0.46	214.79	3.46
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	1	0.38	36.21	0.08	4.55	0.08	0.44	0.01	22.52	0.08	8.70	0.14
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Cecembia	1	0.38	143.94	0.32	46.92	0.78	6.64	0.15	63.23	0.23	27.16	0.44
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Nafulsella	1	0.38	162.31	0.37	38.08	0.63	24.86	0.56	34.60	0.12	64.77	1.04
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales	4	1.54	784.87	1.77	379.39	6.29	70.54	1.58	184.69	0.67	150.26	2.42
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	1	0.38	19.84	0.04	1.08	0.02	0.14	0.00	18.31	0.07	0.32	0.01
